title,control_title,Mod,priority,Recommendation Steps/Approach,COST,
ACM,Ensure that ACM certificates are not in pending validation state,Compliance,P1,Ensure that ACM certificates are not in pending validation state. Steps: 1. Review ACM certificates. 2. Complete validation for any certificates in pending validation state. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
ACM,ACM certificates should not use wildcard certificates,Compliance,P1,ACM certificates should not use wildcard certificates. Steps: 1. Review all ACM certificates. 2. Replace any wildcard certificates with specific domain certificates. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
ACM,Ensure that all the expired ACM certificates are removed,Compliance,P1,Ensure that all the expired ACM certificates are removed. Steps: 1. Identify expired certificates in ACM. 2. Delete any expired certificates. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
ACM,ACM certificates should have transparency logging enabled,Compliance,P1,ACM certificates should have transparency logging enabled. Steps: 1. Review ACM certificates. 2. Enable transparency logging for all applicable certificates. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
ACM,RSA certificates managed by ACM should use a key length of at least 2,Compliance,P1,RSA certificates managed by ACM should use a key length of at least 2048 bits. Steps: 1. Review all RSA certificates in ACM. 2. Ensure that the key length is at least 2048 bits; replace any with a shorter key length. https://docs.aws.amazon.com/acm/latest/userguide/acm-managing-certificates.html,$0 (no additional cost),
API Gateway,API Gateway methods authorizer should be configured,Compliance,P1,API Gateway methods authorizer should be configured: 1. Navigate to your API Gateway in the AWS Management Console. 2. Select the API and go to the Authorizers section. 3. Create and configure an authorizer. https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-create-authorizer.html,Cost: None/$0 ,
API Gateway,API Gateway methods request parameter should be validated,Compliance,P1,API Gateway methods request parameter should be validated: 1. Access your API Gateway in the AWS Management Console. 2. Select the method you want to validate. 3. Configure request parameters to validate input data. https://docs.aws.amazon.com/apigateway/latest/developerguide/api-gateway-method-request-validation.html,Cost: None/$0 ,
API Gateway,API Gateway REST API public endpoints should be configured with authorizer,Compliance,P1,API Gateway REST API public endpoints should be configured with authorizer: 1. Go to the API Gateway console. 2. Select the method you want to secure. 3. Set the authorizer for public methods. https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-method-settings.html,Cost: None/$0 ,
API Gateway,API Gateway routes should specify an authorization type,Compliance,P1,"API Gateway routes should specify an authorization type: 1. In the API Gateway console, select the route. 2. Configure the authorization type (e.g., NONE, AWS_IAM, CUSTOM). https://docs.aws.amazon.com/apigateway/latest/developerguide/http-api-routes.html",Cost: None/$0 ,
API Gateway,API Gateway V2 authorizer should be configured,Compliance,P1,API Gateway V2 authorizer should be configured: 1. Go to the API Gateway V2 console. 2. Select your API and navigate to the Authorizers tab. 3. Create and configure your authorizer. https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-create-v2-authorizer.html,Cost: None/$0 ,
API Gateway,API Gateway stages should have authorizers configured,Compliance,P1,API Gateway stages should have authorizers configured: 1. Navigate to your API Gateway console. 2. Select the stage settings. 3. Associate an authorizer with the stage. https://docs.aws.amazon.com/apigateway/latest/developerguide/api-gateway-stages.html,Cost: None/$0 ,
API Gateway,API Gateway REST API endpoint type should be configured to private,Compliance,P1,"API Gateway REST API endpoint type should be configured to private: 1. In the API Gateway console, select your API. 2. Go to the Settings and set the endpoint type to Private. https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-private-apis.html",Cost: None/$0 ,
API Gateway,API Gateway stage should uses SSL certificate,Compliance,P1,"API Gateway stage should use SSL certificate: 1. In the API Gateway console, select your API stage. 2. Configure the stage settings to use an SSL certificate. https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-custom-domain-names.html",Cost: None/$0 ,
API Gateway,API Gateway REST API stages should have AWS X-Ray tracing enabled,Compliance,P1,API Gateway REST API stages should have AWS X-Ray tracing enabled: 1. Go to the API Gateway console. 2. Select the stage you want to enable tracing for. 3. Enable AWS X-Ray tracing in the stage settings. https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-enable-xray.html,Cost: None/$0 ,
API Gateway,API Gateway stage cache encryption at rest should be enabled,Compliance,P1,API Gateway stage cache encryption at rest should be enabled: 1. Access the API Gateway console. 2. Select the desired stage. 3. Enable cache encryption in the stage settings. https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-enable-stage-cache.html,Cost: None/$0 ,
API Gateway,API Gateway stage logging should be enabled,Compliance,P1,"API Gateway stage logging should be enabled: 1. In the API Gateway console, navigate to the stage settings. 2. Enable logging for the stage. https://docs.aws.amazon.com/apigateway/latest/developerguide/set-up-logging.html",Cost: None/$0 ,
API Gateway,API Gateway stage should be associated with waf,Compliance,P1,API Gateway stage should be associated with WAF: 1. Access the AWS WAF console. 2. Create a web ACL and associate it with your API Gateway stage. https://docs.aws.amazon.com/waf/latest/developerguide/waf-chapter-creating-web-acl.html,Cost: None/$0 ,
API Gateway,Access logging should be configured for API Gateway V2 Stages,Compliance,P1,Access logging should be configured for API Gateway V2 stages: 1. Navigate to the API Gateway V2 console. 2. Select the stage and enable access logging. https://docs.aws.amazon.com/apigateway/latest/developerguide/api-gateway-v2-access-logs.html,Cost: None/$0 ,
AppStream,AppStream fleet default internet access should be disabled,Compliance,P1,"AppStream fleet default internet access should be disabled: 1. Go to the AppStream console in the AWS Management Console. 2. Select the fleet you want to configure. 3. Under the Network settings, disable Default Internet Access. https://docs.aws.amazon.com/appstream2/latest/developerguide/appstream2-fleet.html",Cost: None/$0 ,
AppStream,AppStream fleet idle disconnect timeout should be set to less than or equal to 10 mins,Compliance,P1,AppStream fleet idle disconnect timeout should be set to less than or equal to 10 mins: 1. Access the AppStream console. 2. Choose the fleet and navigate to Idle Disconnect Timeout. 3. Set the value to 10 minutes or less. https://docs.aws.amazon.com/appstream2/latest/developerguide/appstream2-fleet.html,Cost: None/$0 ,
AppStream,AppStream fleet max user duration should be set to less than 10 hours,Compliance,P1,"AppStream fleet max user duration should be set to less than 10 hours: 1. In the AppStream console, select your fleet. 2. Navigate to User Duration settings. 3. Ensure the Max User Duration is set to less than 10 hours. https://docs.aws.amazon.com/appstream2/latest/developerguide/appstream2-fleet.html",Cost: None/$0 ,
AppStream,AppStream fleet session disconnect timeout should be set to less than or equal to 5 mins,Compliance,P1,AppStream fleet session disconnect timeout should be set to less than or equal to 5 mins: 1. Open the AppStream console. 2. Select the fleet you wish to modify. 3. Go to Session Disconnect Timeout and set it to 5 minutes or less. https://docs.aws.amazon.com/appstream2/latest/developerguide/appstream2-fleet.html,Cost: None/$0 ,
AppSync,AppSync graphql API logging should be enabled,Compliance, p1 ,"AppSync GraphQL API logging should be enabled: 1. Go to the AWS AppSync console. 2. Select the API for which you want to enable logging. 3. In the Settings section, find the Logging option. 4. Enable logging and configure the log level as needed (INFO, ERROR, etc.). https://docs.aws.amazon.com/appsync/latest/devguide/monitoring.html#monitoring-logging",Cost: None/$0 ,
Athena,Athena workgroups should be encrypted at rest,Compliance,P1,"Athena workgroups should be encrypted at rest: 1. Navigate to the AWS Athena console. 2. Choose the Workgroup that you want to encrypt. 3. In the Workgroup settings, ensure that encryption at rest is enabled by selecting the appropriate KMS key. 4. Save changes. https://docs.aws.amazon.com/athena/latest/ug/workgroups.html#workgroups-encryption",Cost: None/$0 ,
Athena,Athena workgroups should enforce configuration,Compliance,P1,"Athena workgroups should enforce configuration: 1. Open the AWS Athena console. 2. Select the relevant workgroup. 3. In the Workgroup settings, ensure that the desired configurations (e.g., query result location, encryption, etc.) are enforced. 4. Save the settings to apply the configuration. https://docs.aws.amazon.com/athena/latest/ug/workgroups.html#workgroups-configuration",Cost: None/$0 ,
Auto Scaling,EC2 auto scaling group launch configurations user data should not have any sensitive data,Compliance,P1,EC2 auto scaling group launch configurations user data should not have any sensitive data: 1. Review user data in launch configurations. 2. Ensure no sensitive information is exposed or use encrypted methods. https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-launch-user-data.html,,
Auto Scaling,Auto Scaling groups should not have any suspended processes,Compliance,P1,Auto Scaling groups should not have any suspended processes: 1. Check the Auto Scaling group to ensure that no critical processes are suspended. 2. Resume any suspended processes that are essential for operation. https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-suspend-resume-processes.html,,
Auto Scaling,Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches,Compliance,P1,Ensure EC2 Auto Scaling Groups propagate tags to EC2 Instances that it launches: 1. Review Auto Scaling group settings to confirm that tags are being propagated to instances. 2. Update configurations as needed to ensure proper tagging. https://docs.aws.amazon.com/autoscaling/ec2/userguide/autoscaling-tagging.html,,
Auto Scaling,EC2 Auto Scaling groups should use EC2 launch templates,Compliance,P1,EC2 Auto Scaling groups should use EC2 launch templates: 1. Verify the Auto Scaling group is using launch templates rather than launch configurations for better management. 2. Transition to using launch templates if not already in place. https://docs.aws.amazon.com/autoscaling/ec2/userguide/create-launch-template.html,,
Auto Scaling,Auto Scaling groups with a load balancer should use health checks,Compliance,P2,Auto Scaling groups with a load balancer should use health checks: 1. Ensure that health checks are configured for Auto Scaling groups that utilize load balancers. 2. Adjust health check settings as necessary to maintain instance health. https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-add-elb-healthcheck.html,,
Auto Scaling,EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1,Compliance,P1,EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1: 1. Check and configure the launch configuration to ensure the metadata response hop limit is set to 1. https://docs.aws.amazon.com/autoscaling/ec2/userguide/launch-template-metadata-options.html,,
Auto Scaling,Auto Scaling launch config public IP should be disabled,Compliance,P1,Auto Scaling launch config public IP should be disabled: 1. Review the launch configurations for Auto Scaling groups and ensure public IP assignment is disabled. https://docs.aws.amazon.com/autoscaling/ec2/userguide/asg-instances.html#launch-configurations,,
Auto Scaling,Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2),Compliance,P1,Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2): 1. Configure Auto Scaling groups to enforce the use of IMDSv2 to enhance security. https://docs.aws.amazon.com/autoscaling/ec2/userguide/launch-template-metadata-options.html,,
Auto Scaling,EC2 auto scaling groups should use multiple instance types in multiple availability zones,Compliance,P1,EC2 auto scaling groups should use multiple instance types in multiple availability zones: 1. Assess the current instance types and availability zones used. 2. Modify configurations to ensure multiple instance types are utilized across different availability zones. https://docs.aws.amazon.com/autoscaling/ec2/userguide/ec2-auto-scaling-mixed-instances-groups.html,,
Auto Scaling,EC2 auto scaling group launch configurations user data should not have any sensitive data,Compliance,P1,EC2 auto scaling group launch configurations user data should not have any sensitive data: 1. Review user data in launch configurations. 2. Ensure no sensitive information is exposed or use encrypted methods. https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-launch-user-data.html,,
Auto Scaling,EC2 auto scaling groups should cover multiple availability zones,Compliance,P1,EC2 auto scaling groups should cover multiple availability zones: 1. Ensure that your Auto Scaling groups are configured to span multiple availability zones. 2. Review the current configuration and modify as needed. https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-features.html#as-multiple-az,,
Auto Scaling,Auto Scaling groups should not have any suspended processes,Compliance,P1,Auto Scaling groups should not have any suspended processes: 1. Review Auto Scaling groups for any suspended processes. 2. Resume any necessary processes to ensure optimal performance. https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-suspend-resume.html,,
Auto Scaling,Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches,Compliance,P1,Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches: 1. Check the tag settings for your Auto Scaling groups. 2. Enable tag propagation to ensure instances inherit the correct tags. https://docs.aws.amazon.com/autoscaling/ec2/userguide/autoscaling-tagging.html,,
Auto Scaling,EC2 Auto Scaling groups should use EC2 launch templates,Compliance,P1,EC2 Auto Scaling groups should use EC2 launch templates: 1. Review your launch configurations and consider migrating to launch templates for enhanced flexibility. 2. Update Auto Scaling groups to use the new templates. https://docs.aws.amazon.com/autoscaling/ec2/userguide/ec2-auto-scaling-launch-templates.html,,
Auto Scaling,Auto Scaling groups with a load balancer should use health checks,Compliance,P1,Auto Scaling groups with a load balancer should use health checks: 1. Ensure that health checks are configured for your load balancer. 2. Review and adjust health check settings as necessary. https://docs.aws.amazon.com/autoscaling/ec2/userguide/autoscaling-load-balancer-healthcheck.html,,
Auto Scaling,EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1,Compliance,P1,EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1: 1. Review your launch configurations. 2. Adjust the hop limit settings to ensure it is set to 1 or less. https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-instance-metadata.html#instance-metadata-retrieval,,
Auto Scaling,Auto Scaling launch config public IP should be disabled,Compliance,P1,Auto Scaling launch config public IP should be disabled: 1. Check your launch configurations to ensure that public IP assignment is disabled. 2. Modify the configuration as needed. https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-launch-public-ip.html,,
Auto Scaling,Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2),Compliance,P1,Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2): 1. Review your instance metadata settings. 2. Ensure that IMDSv2 is enabled and required for your instances. https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-instance-metadata.html#instance-metadata-version-2,,
Auto Scaling,EC2 auto scaling groups should use multiple instance types in multiple availability zones,Compliance,P1,EC2 auto scaling groups should use multiple instance types in multiple availability zones: 1. Review your current instance type distribution. 2. Modify the configuration to incorporate multiple instance types across various availability zones. https://docs.aws.amazon.com/autoscaling/ec2/userguide/ec2-auto-scaling-mixed-instances-groups.html,,
Backup,Backup plan min frequency and min retention check,Compliance,P1,Backup plan min frequency and min retention check: 1. Review your backup plans to ensure they meet minimum frequency and retention requirements. 2. Adjust settings as necessary to comply with organizational policies. https://docs.aws.amazon.com/aws-backup/latest/devguide/whatisbackup.html#whatisbackup-plans,$0 ,
Backup,Backup plan should exist in a region,Compliance,P1,Backup plan should exist in a region: 1. Ensure that a backup plan is created for each AWS region where you have resources. 2. Review and create backup plans as necessary in regions lacking them. https://docs.aws.amazon.com/aws-backup/latest/devguide/whatisbackup.html#whatisbackup-plans,$0 ,
Backup,Backup recovery points should be encrypted,Compliance,P1,Backup recovery points should be encrypted: 1. Review the encryption settings for your recovery points. 2. Ensure that all recovery points are encrypted to comply with security standards. https://docs.aws.amazon.com/aws-backup/latest/devguide/whatisbackup.html#whatisbackup-encryption,$0 ,
Backup,Backup recovery points manual deletion should be disabled,Compliance,P1,Backup recovery points manual deletion should be disabled: 1. Check the settings for recovery point deletion. 2. Disable manual deletion to prevent accidental data loss. https://docs.aws.amazon.com/aws-backup/latest/devguide/whatisbackup.html#whatisbackup-recoverypoints,$0 ,
Backup,Backup recovery points should not expire before retention period,Compliance,P1,Backup recovery points should not expire before retention period: 1. Review the expiration settings for recovery points. 2. Ensure that they comply with the established retention period. https://docs.aws.amazon.com/aws-backup/latest/devguide/whatisbackup.html#whatisbackup-recoverypoints,$0 ,
Backup,Backup report plan should exist in a region where backup plan is enabled,Compliance,P1,Backup report plan should exist in a region where backup plan is enabled: 1. Ensure that a backup report plan is created for each region where backup plans are enabled. 2. Create report plans as necessary in applicable regions. https://docs.aws.amazon.com/aws-backup/latest/devguide/whatisbackup.html#whatisbackup-reportplans,$0 ,
Backup,Backup vaults should exist in a region,Compliance,P1,Backup vaults should exist in a region: 1. Review your backup vaults to ensure they exist in all regions where backups are implemented. 2. Create vaults in any missing regions as needed. https://docs.aws.amazon.com/aws-backup/latest/devguide/whatisbackup.html#whatisbackup-vaults,$0 ,
CloudFormation,CloudFormation stacks differ from the expected configuration,Compliance,P1,CloudFormation stacks differ from the expected configuration: 1. Regularly review the CloudFormation stack configurations against expected configurations. 2. Use AWS Config rules to monitor changes in stack resources. 3. Remediate any deviations found. https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/what-is-cfn.html,Cost: None/$0 ,
CloudFormation,CloudFormation stacks should have notifications enabled,Compliance,P1,"CloudFormation stacks should have notifications enabled: 1. Go to the AWS CloudFormation console. 2. Select the relevant stack. 3. In the stack settings, ensure that Amazon SNS notifications are enabled for events such as creation, updates, and deletions. https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/notifications.html",Cost: None/$0 ,
CloudFormation,CloudFormation stacks outputs should not have any secrets,Compliance,P1,"CloudFormation stacks outputs should not have any secrets: 1. Review the outputs defined in your CloudFormation templates. 2. Ensure that no sensitive information (e.g., passwords, access keys) is exposed in stack outputs. 3. Use parameters or secrets manager for sensitive data. https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/outputs-section-structure.html",Cost: None/$0 ,
CloudFormation,CloudFormation stacks should have rollback enabled,Compliance,P1,CloudFormation stacks should have rollback enabled: 1. Open the AWS CloudFormation console. 2. Select the stack you want to configure. 3. Ensure that rollback on failure is enabled during stack creation or update processes. https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/stacks.html,Cost: None/$0 ,
CloudFormation,Cloudformation stacks termination protection should be enabled,Compliance,P1,CloudFormation stacks termination protection should be enabled: 1. Go to the AWS CloudFormation console. 2. Select the stack and navigate to stack actions. 3. Enable termination protection to prevent accidental deletions. https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/stack-termination-protection.html,Cost: None/$0 ,
CloudFront,CloudFront distributions should have origin failover configured,Compliance,P1,"Ensure CloudFront distributions have origin failover configured. Steps: 1. Review CloudFront settings. 2. Configure origin failover if not set. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/controlling-origin-failover.html
https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/high_availability_origin_failover.html",,
CloudFront,CloudFront distributions should encrypt traffic to custom origins,Compliance,P1,Ensure CloudFront distributions encrypt traffic to custom origins. Steps: 1. Review CloudFront settings. 2. Enable encryption for custom origins if not already done. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/security-policy.html,,
CloudFront,CloudFront distributions should have a default root object configured,Compliance,P3,Ensure CloudFront distributions have a default root object configured. Steps: 1. Review CloudFront settings. 2. Configure a default root object if not set. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/adding-default-root-object.html,,
CloudFront,CloudFront distributions should require encryption in transit,Compliance,P3,Ensure CloudFront distributions require encryption in transit. Steps: 1. Review distribution settings. 2. Enforce SSL/TLS settings for all requests. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/using-https.html,,
CloudFront,CloudFront distributions should have field level encryption enabled,Compliance,P2,Ensure CloudFront distributions have field level encryption enabled. Steps: 1. Review CloudFront settings. 2. Enable field level encryption if not already done. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/field-level-encryption.html,,
CloudFront,CloudFront distributions should have geo restriction enabled,Compliance,P2,Ensure CloudFront distributions have geo restriction enabled. Steps: 1. Review distribution settings. 2. Enable geo restriction if not set. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/georestriction.html,,
CloudFront,CloudFront distributions should have latest TLS version,Compliance,P1,Ensure CloudFront distributions use the latest TLS version. Steps: 1. Review CloudFront settings. 2. Update to the latest TLS version if not configured. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/using-https.html#using-https-tls,,
CloudFront,CloudFront distributions access logs should be enabled,Compliance,P1,Ensure CloudFront distributions access logs are enabled. Steps: 1. Review CloudFront settings. 2. Enable access logging if not already done. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/monitoring-using-logs.html,,
CloudFront,CloudFront distributions should not use deprecated SSL protocols between edge locations and custom origins,Compliance,P1,Ensure CloudFront distributions do not use deprecated SSL protocols between edge locations and custom origins. Steps: 1. Review SSL settings. 2. Update settings to use secure protocols. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/security-policy.html,,
CloudFront,CloudFront distributions should not point to non-existent S3 origins,Compliance,P3,Ensure CloudFront distributions do not point to non-existent S3 origins. Steps: 1. Review distribution settings. 2. Update origin settings to ensure they point to valid S3 buckets. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/working-with-origins.html,,
CloudFront,CloudFront distributions should encrypt traffic to non S3 origins,Compliance,P3,Ensure CloudFront distributions encrypt traffic to non-S3 origins. Steps: 1. Review settings for non-S3 origins. 2. Enable encryption for custom origins if not already done. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/security-policy.html,,
CloudFront,CloudFront distributions should have origin access identity enabled,Compliance,P2,Ensure CloudFront distributions have origin access identity enabled. Steps: 1. Review CloudFront settings. 2. Enable origin access identity for S3 origins if not set. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/private-content-s3.html,,
CloudFront,CloudFront distributions should use SNI to serve HTTPS requests,Compliance,P2,Ensure CloudFront distributions use SNI to serve HTTPS requests. Steps: 1. Review CloudFront settings. 2. Enable Server Name Indication (SNI) for HTTPS requests. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/using-https.html#using-https-sni,,
CloudFront,CloudFront distributions should use custom SSL/TLS certificates,Compliance,P2,Ensure CloudFront distributions use custom SSL/TLS certificates. Steps: 1. Review SSL settings. 2. Configure CloudFront to use custom SSL/TLS certificates if not already set. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/SNISetup.html,,
CloudFront,CloudFront distributions should use secure SSL cipher,Compliance,P1,Ensure CloudFront distributions use secure SSL ciphers. Steps: 1. Review listener SSL settings. 2. Configure to use secure SSL ciphers. https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/using-https.html#using-https-ssl-ciphers,,
CloudFront,CloudFront distributions should have AWS WAF enabled,Compliance,P1,Ensure CloudFront distributions have AWS WAF enabled. Steps: 1. Review CloudFront settings. 2. Enable AWS WAF if not already done. https://docs.aws.amazon.com/waf/latest/developerguide/waf-chapter.html,,
CloudTrail,Ensure the S3 bucket CloudTrail logs to is not publicly accessible,Compliance,P1,Ensure the S3 bucket CloudTrail logs to is not publicly accessible. Steps: 1. Review the S3 bucket policy. 2. Ensure that the bucket is not publicly accessible. https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-create-and-update-a-trail.html#cloudtrail-create-and-update-a-trail-s3-bucket,,
CloudTrail,CloudTrail trails should be enabled in all regions,Compliance,P2,Ensure CloudTrail trails are enabled in all regions. Steps: 1. Review CloudTrail settings. 2. Enable trails in any regions where they are not set up. https://docs.aws.amazon.com/awscloudtrail/latest/userguide/how-to-enable-trail.html,,
CloudTrail,At least one multi-region AWS CloudTrail should be present in an account,Compliance,P1,Ensure at least one multi-region AWS CloudTrail is present in an account. Steps: 1. Review CloudTrail settings. 2. Create a multi-region trail if not already present. https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-create-and-update-a-trail.html,,
CloudTrail,CloudTrail multi region trails should be integrated with CloudWatch logs,Compliance,P3,Ensure CloudTrail multi-region trails are integrated with CloudWatch logs. Steps: 1. Review CloudTrail settings. 2. Enable CloudWatch Logs integration if not already set. https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-cloudwatch-logs.html,,
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,Compliance,P1,Ensure all S3 buckets log S3 data events in CloudTrail. Steps: 1. Review S3 bucket settings. 2. Enable data event logging in CloudTrail if not already done. https://docs.aws.amazon.com/awscloudtrail/latest/userguide/logging-data-events-with-cloudtrail.html,,
CloudTrail,Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket,Compliance,P1,Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket. Steps: 1. Review the S3 bucket settings. 2. Enable access logging if it is not already enabled. https://docs.aws.amazon.com/AmazonS3/latest/userguide/LoggingHowTo.html,,
CloudTrail,Ensure that Object-level logging for read events is enabled for S3 bucket,Compliance,P1,Ensure that Object-level logging for read events is enabled for the S3 bucket. Steps: 1. Review CloudTrail settings. 2. Enable read event logging if not already set. https://docs.aws.amazon.com/awscloudtrail/latest/userguide/data-events-s3.html,,
CloudTrail,Ensure that Object-level logging for write events is enabled for S3 bucket,Compliance,P1,Ensure that Object-level logging for write events is enabled for the S3 bucket. Steps: 1. Review CloudTrail settings. 2. Enable write event logging if not already set. https://docs.aws.amazon.com/awscloudtrail/latest/userguide/data-events-s3.html,,
CloudTrail,At least one trail should be enabled with security best practices,Compliance,P1,Ensure at least one trail is enabled with security best practices. Steps: 1. Review CloudTrail settings. 2. Implement security best practices for CloudTrail configuration. https://aws.amazon.com/blogs/security/best-practices-for-aws-cloudtrail/,,
CloudTrail,CloudTrail trail S3 buckets MFA delete should be enabled,Compliance,P2,Ensure CloudTrail trail S3 buckets MFA delete is enabled. Steps: 1. Review S3 bucket settings for CloudTrail. 2. Enable MFA Delete if not already enabled. https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-mfa-delete.html,,
